Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,115.180000,116.739998,115.129997,115.720001,113.746094,5049800
2021-05-04,115.150002,115.400002,113.540001,114.110001,112.163544,6265100
2021-05-05,114.209999,114.879997,113.160004,113.480003,111.544304,4677700
2021-05-06,113.650002,114.809998,113.099998,114.739998,112.782814,4113300
2021-05-07,115.110001,115.839996,114.239998,114.339996,112.389633,4867500
2021-05-10,114.570000,116.089996,114.209999,114.300003,112.350311,5759500
2021-05-11,113.320000,113.690002,112.169998,113.550003,111.613113,7775400
2021-05-12,111.870003,112.389999,109.559998,109.790001,108.346619,7965300
2021-05-13,110.160004,111.180000,109.160004,110.489998,109.037415,7999400
2021-05-14,111.010002,111.589996,110.250000,111.199997,109.738083,6836300
2021-05-17,111.220001,111.269997,109.830002,110.980003,109.520988,4521200
2021-05-18,111.370003,112.209999,111.010002,111.070000,109.609795,5177300
2021-05-19,109.599998,109.940002,108.879997,109.669998,108.228203,5997400
2021-05-20,109.980003,111.690002,109.870003,111.410004,109.945335,5345500
2021-05-21,111.629997,112.220001,110.570000,110.919998,109.461769,5146500
2021-05-24,111.800003,113.029999,111.519997,112.519997,111.040733,5476100
2021-05-25,112.919998,113.150002,112.180000,112.629997,111.149277,5391800
2021-05-26,113.300003,113.870003,112.629997,112.849998,111.366386,3841600
2021-05-27,113.470001,114.089996,112.760002,113.510002,112.017715,7378400
2021-05-28,114.349998,114.349998,113.050003,113.879997,112.382851,4239800
2021-06-01,114.559998,114.620003,113.099998,113.339996,111.849953,4306900
2021-06-02,113.709999,113.709999,112.750000,113.000000,111.514420,5045000
2021-06-03,112.010002,112.239998,110.150002,111.120003,109.659142,5723900
2021-06-04,111.620003,112.070000,111.050003,111.989998,110.517693,4477500
2021-06-07,111.980003,112.279999,110.989998,111.330002,109.866379,4009000
2021-06-08,111.379997,111.989998,110.860001,111.519997,110.053871,4669800
2021-06-09,111.739998,112.190002,111.330002,111.389999,109.925591,3669400
2021-06-10,111.800003,112.430000,111.440002,112.209999,110.734810,3833200
